input,output,meaning,pos,num_cognates
[grc] οἶτος [sga] óeth [old] an-utonau,*h₁óytos,oath,noun,3
[grc] ἄστυ [san] वस्तु [xto] waṣt [txb] ost,*h₂wóstu,"home, dwelling",noun,4
[sqi] morr [hye] մրջյուն [grc] μύρμηξ [grc] μύρμος [grc] βόρμαξ [grc] βύρμαξ,*morwís,ant,noun,6
[nld] miggelen,*h₃mígʰleh₂,"mist, cloud",noun,1
[hye] ներ [grc] ἐνάτηρ [lat] iā̆nitrīx [san] यातृ [fas] جاری [san] यन्त्रिणी [san] यन्त्रणी,*h₁yénh₂tēr,co-sister-in-law (wife of the husband's brother),noun,9
[san] वशा [lat] vacca,*woḱéh₂,cow,noun,2
[san] राज्ञी,*h₃rḗǵnih₂,queen,noun,1
[san] नप्ती [ave] 𐬥𐬀𐬞𐬙𐬍 [lat] neptis,*néptih₂,"granddaughter, niece",noun,3
[hit] ma-uš-zi [lav] maudāt [lit] mauti [lit] máudyti [san] मीवति [txb] miw- [lat] moveō [xto] musk- [txb] musk- [isl] má [txb] mäs-,*m(y)ewh₁-,to move,root,11
[cel] *érkos [lat] Querquernī [lat] Quarquenī [cym] perth [eng] Perth [sga] ceirt [lat] quercus,*pérkus,oak,noun,7
[lit] bàkstelėti [lav] bakstīt [grc] βάκτρον [lat] baculum,*bak-,"peg, club",root,6
[prg] kalis [grc] ἄσπαλος [ave] 𐬐𐬀𐬭𐬀 [lat] squalus,*(s)kʷálos,"large fish, sheatfish",noun,4
[grc] πτόλις [grc] πόλις [lav] pils [lit] pili̇̀s [san] पुर [san] पुरी,*tpelH-,"fortification, city",root,8
[sqi] verr [san] वरण,*wern-,"a kind of tree, perhaps alder",noun,2
[sqi] bredh,*bʰerHǵós,birch,noun,1
[hit] uwai [sqi] vaj [lav] vai [lit] vai̇̃ [grc] αἴ [grc] αἶ [grc] αἰαῖ [grc] οἴ [grc] οἶ [grc] ὀῐ̈́ [grc] οὐαί [san] उवे [ave] 𐬬𐬀𐬫𐬋𐬌 [fas] وای [hye] վայ [lat] vae,*wáy,"oh!, ah!, woe!, alas!",intj,24
[lav] valgs [sqi] lëng [sqi] ulmej [lit] vi̇̀lgti [lit] vi̇̀lgyti [lav] vil̂gt [lav] velgme [lav] velgans [prg] welgen,*welg-,"wet, damp",root,9
[lat] ulmus,*h₁élem,mountain elm,noun,1
[lit] mẽlas [grc] μέλεος [lat] malus [xto] smale [hye] մեղք [xcl] մեղմեխ [sga] millid [grc] βλᾰ́σφημος [xcl] մող [xcl] մոլիմ [xcl] մոլորիմ,*(s)mel-,"false, erroneous, bad, evil",root,11
[lat] longus,*dlongʰos,long,adj,1
[grc] χρίω [lit] griẽti,*gʰrey-,"to smear, to paint, to streak",root,2
[san] हरयन्त [grc] χαίρω [san] हर्यति [grc] χαρτός [san] हृत [grc] χάρις [xcl] ձիր [grc] χαρά [grc] χάρμα [grc] χάρμη [grc] χράω [grc] χρηστός [grc] χρῄζω [san] हर्य्,*gʰer-,to yearn for,root,14
[grc] χόνδρος [xcl] կորկոտ [lit] graudi̇̀nti [lav] grūst [lit] grūsti [lav] gruds [lav] grauds [lit] grūdas [lit] graûds [lit] grúodas [eng] grout [mid] grūz [isl] grautur [swe] gröt [lav] gruži [lit] gráužas [lit] graũžas [grc] χρῶμα [grc] χρώς [gmy] 𐀀𐀒𐀫𐀸𐀁 [lav] gŗaût [lit] griáuti [grc] ἔχραον [lat] ingruō [lat] grandis [san] घर्षति [grc] χεράς [grc] κέγχρος [grc] κάχρυς [grc] χέρμα [grc] χερμάς,*gʰer-,"to rub, to stroke, to grind, to remove",root,53
[lat] malus,*(s)mal-,"small, little",root,1
[xcl] մեղկ [grc] βλαδύς [grc] ἀμαλδύνω [lat] mollis,*ml̥dús,"soft, weak",adj,4
[hye] իմանալ [hye] իմա,*h₁em-,"to take, to distribute",root,2
[lat] patior [grc] πῆμα [san] पीयति,*peh₁-,"to hate, hurt",root,3
[hye] հում [hye] հումք [lav] oms [ell] ωμός [san] आम [fas] خام [xcl] խամ,*h₂eh₃mós,"raw, uncooked, bitter, sharp-tasting or sour",adj,7
[xcl] օր [ell] ημέρα [sqi] zëmër,*h₂éh₃mr̥,"heat, daylight, day",noun,6
[sqi] gjak [cym] sybwydd [lat] sappinus [grc] ὀπός [xto] saku [txb] sekwe,*sokʷós,juice of plants,noun,6
[sqi] thëri [xcl] անիծ [grc] κονίς,*-níd-,"nit, louse egg",noun,3
[lav] kākāt [lav] kakāt [lit] kakóti [grc] κᾰκκᾰ́ω [lat] cacō [lat] cacāre [sqi] kakë [lav] kaka [lit] kaka [bre] kaoc'h [cym] cach [gle] cac [gla] cac [grc] κάκκη [pus] ککه [vul] *caca [vul] *cacca [hye] քաք [hye] քակոր,*kakka-,to defecate,root,25
[san] पाजस्य [lav] paksis [bul] пах [ces] pach [pol] pacha [rus] пах [ukr] паха́ [san] पक्ष [lat] pectus [gle] ucht [gla] uchd [lit] pažasti̇̀s [ces] paže [xcl] հակ [rus] пахва [ukr] пахва,*peg-,"The meaning of this term is uncertain. Possibilities include:, side, flank (of the abdomen), hip, The meaning of this term is uncertain. Possibilities include:, shoulder, armpit; (by extension?) corner, crevice, The meaning of this term is uncertain. Possibilities include:, abdomen, The meaning of this term is uncertain. Possibilities include:, loins",root,42
[xcl] եղտիւր [grc] ἕλος [deu] Saale,*sélos,"marsh, salt marsh",noun,3
[sqi] qull [lit] šlúoti [lat] cluō [eng] Clyde [grc] κλύζω [grc] κλῠ́δων [xcl] լուրթ [lat] cloāca [cym] clir [xcl] լուրջ [lav] slaucīt [lav] slaukt [lav] slota [lit] šlúota [lit] šlaukýti [lit] sliaũkti,*ḱlewH-,"to clean, rinse, slide",root,16
[san] चोदति [sqi] hedh [fas] چست [lav] kûdît [lav] kûdinât [lit] skiautė [lit] skutai,*(s)kewd-,"to advance, push, to drive, propel",root,7
[grc] κλᾰ́δος [lat] clādēs [cym] col [gle] colg [lat] per-cellō [lat] clāva [grc] κλᾰ́ω [san] काण [san] काष्ठ [san] कड [san] काण्ड,*kelh₂-,"to beat, to break",root,11
[san] अमोक् [san] अमुचत् [san] मोक्ष [san] मुच्यते [grc] μύσσομαι [grc] ἀπομύσσω [lav] mukt [lit] mùkti [lit] munkù [lit] mukaũ [san] आमुञ्चति [san] प्रमुञ्चति [lat] ēmungō [san] मुमुक्षति [sqi] mut,*(s)mewk-,"to let loose, release, to slip away, escape, flee",root,15
[san] शंसति [lat] cēnseō [grc] κόσμος [grc] κῶμος [sqi] them [san] शंस्,*ḱens-,"to announce, to proclaim, to put in order",root,6
[lat] *flāmen [lat] *sub-flāmen [sqi] bligë [grc] φᾰ́λᾰγξ [lat] fulciō [grc] φάλκης,*bʰelǵ-,"to balk, beam",root,6
[prg] assanis [lat] annōna [xcl] ար-ա-ց [grc] ὀπώρα [grc] ὀπώρη [grc] ὀπάρα [grc] ὁπώρα [hit] 𒊺𒂊𒊭𒀭𒈾𒀸 [hit] 𒊺𒂊𒊭𒈾𒀸 [xcl] աշուն [san] सस्य,*(s)h₁es-,"harvest, crop, fruit",root,12
[lat] fīvō [lat] fīgō [lit] di̇́egti [sqi] deng,*dʰeygʷ-,"to stick into, pierce, to dig; to ditch, to plant; to set up, fasten",root,4
[lit] jū́šė [prg] iuse [san] यूस् [lat] iūs,*yéwHs,"soup, broth, fermented product; leaven",noun,4
[lit] leñtas [lat] lentus,*len-,soft,root,2
[grc] ἀλέγω [lat] religiō [lat] -lēxī [grc] ἄλγος,*h₂leg-,to care for,root,4
[grc] τέθνᾰμεν [san] धन्वति [fas] دنیدن [san] धन [grc] θνῄσκω [grc] ἔθᾰνον [lat] fōns [san] दधन्ति [san] धन् [xto] tsno [xto] tsnāntär [txb] *tsnamo,*dʰenh₂-,"to set in motion, to flow",root,12
[lit] stebėti [san] स्तम्भ [san] स्तभ्नाति [lav] stabs [lit] stãbas [fas] ستبر [grc] σταφυλή,*stebʰ-,"to stand still, to harden",root,7
[grc] στέφω [grc] ἔστεψα [bul] стожер,*stegʷʰ-,to enlace,root,3
[lat] farciō [grc] φράσσω [lat] fraxō [lat] frequēns,*bʰrekʷ-,"to condense, to crowd together",root,4
[lat] stringō,*streyg-,"to stroke, rub, strike, to shear",root,1
[lav] šķist [san] चेतति [lav] skaitīt [lit] skaityti [san] चेतयति [san] चिकेत [san] चेतस्,*kʷeyt-,to notice,root,7
[lit] di̇̀rbti [chu] oустрабити [grc] στέρφος,*sterbʰ-,"to exert (force, work, treatment), to become stiff",root,3
[sqi] herdhe [hit] arki- [xcl] որձիք [gle] úirí [grc] ὄρχις [ave] 𐬆𐬭𐬆𐬰𐬍,*h₁órǵʰis,testicle,noun,6
[sqi] djerg [sqi] dergj [lit] di̇̀rgti [lit] di̇̀rginti,*derHgʰ-,"to tug, to stretch, to pluck",root,4
[san] अयमुर् [san] यमति [san] अयान् [san] अयांसम् [xto] ypa- ~ ya- [san] यच्छति [xto] yomnāṣ [txb] yanmacer [san] ययन्थ [xto] yām- [txb] yām- [san] यामयति [san] यन्त्र [sqi] gjem [san] यम [san] यति [san] सुयाम [grc] ἥμερος [xto] yomär [san] यन्तुरम् [san] यम्,*yem-,"to hold, restrain, to take, seize",root,21
[lav] pērkons [lit] perkūnas [prg] Perkūns,*perkʷ-,oak,root,3
[san] सस्,*ses-,"to rest, to sleep",root,1
[hit] 𒉺𒄴𒊭𒊑,*péh₂sti,"to guard, to protect, to shepherd",verb,1
[san] स्व- [ave] 𐬓𐬀- [lat] sē-,*swe-,self,prefix,3
[lav] -st [lit] -sti [grc] -θω [grc] -θην,*-dʰh₁eti,Forms resultative verbs.,suffix,4
[san] श्रद्दधाति,*ḱréddʰh₁eti,"to believe, trust",verb,1
[grc] πλήθω,*pléh₁dʰh₁eti,"to become full, swell, to increase, further",verb,1
[lav] šķērdēt [lav] šķērst [lit] sker̃sti [sga] sceirtid,*(s)kérdʰh₁eti,"to become cut, pierced",verb,5
[lav] viest [lit] vei̇̃sti [ave] 𐬬𐬋𐬌𐬲𐬛𐬀𐬝 [san] विड्ढि [lit] vi̇̀sti [lat] vireō [san] विवेष्टि [sqi] vesh [lit] vai̇̃sius [prg] wēisin [ang] wīse [mid] wēse [mid] wisch [deu] Wiese [nor] veis,*weys-,"to raise, increase, to produce, procreate",root,15
[hit] 𒉺𒀭𒆪𒍑 [grc] παχύς,*bʰénǵʰus,"dense, thick",adj,2
[lat] Remus,*yemHós,twin,noun,1
[lav] pûri [lav] pûŗi [lit] pūrai̇̃ [prg] pure [chu] пꙑре [rus] пыре́й [ukr] пирій [eng] furze [grc] πῡρός [san] पूर,*puHrós,"A type of grain, possibly: wheat, spelt",noun,17
[san] ग्रावन्,*gʷréh₂wō,"quern, mill-stone",noun,1
[gmy] 𐀏𐀨𐀀𐀠,*ḱérh₂sō,"head, skull",noun,3
[grc] -λός [grc] -λος [san] -ल [san] -र [lat] -lus,*-lós,"Forms agent nouns from verbal roots., Forms diminutive nouns from noun stems., Forms adjectives with the sense “pertaining to …” (alternative form of *-rós)",suffix,37
[hye] քաղցր [grc] γλυκύς [grc] γλεῦκος [gmy] 𐀆𐀩𐀄𐀒 [lat] dulcis,*dléwkus,sweet,adj,8
[got] -𐌸 [grc] -θε [grc] -θῐ [san] -ध [san] -ह [lat] ubī̆ [lat] ibī̆,*-dʰe,locative suffix,suffix,9
[sqi] betë [san] भ॒द्र [san] भल्ल [ave] 𐬵𐬎𐬠𐬀𐬜𐬭𐬀 [old] *badrah [cym] bodd [sga] buide,*bʰed-,"to improve, make better",root,7
[lit] bèsti [lav] best [prg] embaddusisi [hit] 𒁁𒁕𒀀𒄿 [hit] 𒁁𒁕𒄿 [lav] badīt [lit] badýti [chu] пробождати [lat] fodiō [xto] pāt- [mid] bedd,*bʰedʰh₂-,"to dig, burrow, to pierce, stab",root,11
[lat] micō [bre] dismeg [cym] dirmygu [cym] edmygu [cym] myged [sga] do·meiccethar,*meyk-,"to twinkle, blink",root,7
"[lit] bilti [lit] byla [prg] billīt, billītwei [lit] bilsti [lav] bilst [lav] bildēt [lit] bildėti [lav] balss [lit] balsas [san] भाष् [xto] päl- [txb] päl-",*bʰel-,"to sound; to speak, roar, bark",root,12
[sqi] baltë [san] भर्गस् [grc] φλέγω [grc] φλέγμα [lat] fulgeō [lat] fulgur [lat] flagrō [lat] flamma [sqi] blokër [lat] flāvus [lav] bāls [lit] bãlas [grc] φᾰλός [sqi] bal [sqi] balo [lav] blāvs [lit] blãvas [san] भाल [hye] բալ,*bʰel-,"to blaze, burn; to glow, shine, be bright or brightly colored, bright flame, fire, shiny, white",root,24
[grc] φλέω [lat] flō [hye] բեղմ [hye] բեղուն [isl] bjalla [swe] fot-bjälle [swe] fota-bjälle [grc] φάλλαινα [deu] Ball [deu] Ballen [grc] φαλλός [lat] follis [grc] βαλλίον [grc] φάλης,*bʰel-,"to blow, to swell up",root,21
[lat] filix [deu] Bilsenkraut [spa] belesa [spa] velesa [cym] bela [cym] bele,*bʰel-,henbane,root,11
[xcl] գառն [grc] ἀρήν,*wr̥h₁ḗn,"lamb in general, or more probably only the male, ram.",noun,2
[grc] στάς [lat] stāns,*sth₂ónts,active participle of *stéh₂t,adj,2
[grc] φέρων [lat] ferēns,*bʰéronts,active participle of *bʰéreti,verb,2
[hit] 𒀀𒁕𒀭𒍝 [grc] ἔδων [lat] edēns,*h₁dónts,active participle of *h₁édti,verb,3
[lit] mosúoti [lit] móti [chu] поманѫти [grc] μηνύω [grc] μάρη [lat] manus [cym] emneidio [mid] amnaid [mid] emneid [gle] sméid [gla] smèid,*(s)meh₂-,"to beckon, signal",root,11
"[grc] μέλω, μέλομαι [grc] μέμηλα, μέμβλεται [sga] mall [lat] promellō [grc] μέλλω",*mel-,"to worry, be late",root,5
[hit] -𒀸𒊭𒊏𒀸,*-sōr,Derives feminine gender stems from roots,suffix,1
[lav] gadīties [sqi] nge [lav] gads [lit] gadynė [lav] gùods [lit] guõdas,*gʰedʰ-,"to join, to unite, to suit",root,6
[sqi] çukë [got] 𐌷𐌹𐌿𐌷𐌼𐌰 [lit] kaũkas [san] कुच [san] कुचति [grc] Καύκᾰσος,*kewk-,"to bend, crooked",root,7
[ell] αμείβω [lat] migrō,*h₂meygʷ-,"to change, exchange, to change places → to wander",root,2
[grc] ἠμί [lat] axō [grc] (ἄν)ωγα [lat] (prōd)igium [txb] aksaṣṣuki [xcl] ասեմ,*h₁eǵ-,to say,root,7
[chu] строуити [sga] a·sroíther,*strowéyeti,"to strew, to disperse, to spawn",verb,2
[lav] gal̂va [lit] galvà [prg] gallū [prg] galwo [sqi] guall [sqi] gollomësh,*gelH-,"naked, head",root,6
[sqi] vatër [sqi] votër [xcl] *այր [xcl] այրեմ [xcl] զայրանամ [lat] āter [lat] atrox [lat] Atella [lat] ātrium [lat] Atrius [ave] 𐬁𐬙𐬀𐬭 [xcl] ատր-,*h₂eh₁ter-,fire,noun,12
[ang] cnūian [ang] cnūwian [non] knúi,*gnewH-,to press,root,5
[non] síða [ang] -siden,*seyt-,magic,root,2
[lit] sai̇̃tas [lit] sei̇̃tas,*soytós,magic,noun,2
[xcl] բոկ,*bʰosós,"bare, barefoot",adj,1
[sqi] djeg [txb] tsäk-,*dʰégʷʰeti,"to burn, to be burning (transitive)",verb,2
[xcl] բամ [grc] φημί [grc] φαμί [lat] for,*bʰéh₂ti,"to speak, to be talking",verb,4
[hye] անկյուն [grc] ἄγκος [lat] ancus [san] अङ्कस्,*h₂énkos,"curve, bend",noun,4
[sqi] endë [hye] հանդ [hye] անդ,*h₂éndʰos,bloom,noun,5
[sqi] end,*h₂endʰ-,to bloom,root,1
[lav] spārns [lit] spar̃nas,*pornóm,"feather, wing, fern, leaf",noun,2
[san] मेथति [san] मेथेते [lat] mittō [san] मिमेथ [lat] mūtō [grc] μοῖτος [san] मिथस् [ave] 𐬨𐬀𐬉𐬚𐬁 [ave] 𐬨𐬌𐬚𐬋 [ave] 𐬁𐬨𐬋𐬌𐬌𐬀𐬯𐬙𐬭𐬁 [ave] 𐬨𐬌𐬚𐬀 [ave] 𐬨𐬌𐬚𐬡𐬀 [ave] 𐬨𐬌𐬚𐬡𐬀𐬥𐬀 [fas] میهوخت [lat] mūtuus [lat] missus [lav] mît [san] मिथति [san] मिथुन [san] मिथु [san] मिथ्या [chu] митѣ,*meyth₂-,"to change, to exchange, to remove, send",root,26
[san] स्वानीत् [lat] sonō [cym] honni [san] स्वनयति [sga] seinnid [ave] 𐬀𐬞𐬀𐬓𐬀𐬥𐬎𐬎𐬀𐬌𐬧𐬙𐬌 [lat] sonus [lat] *swenos [lat] *swenh₂-os [san] स्वनति [fas] خواندن [san] स्वनद्रथ [ave] 𐬓𐬀𐬥𐬀𐬝-𐬗𐬀𐬑𐬭𐬀 [san] स्वन् [fas] خوان,*swenh₂-,to sound,root,16
"[grc] (ἀπο)λαύω [sga] lóg [grc] λᾱός [grc] λᾱρός [grc] ληΐη [grc] ληΐς, ληΐδος [lat] lucrum [xcl] լաւ [grc] λωΐων [lat] Laverna [xto] lu [txb] luwo",*leh₂w-,"to seize, gain, benefit, prize",root,12
[hit] ḫa-meš-ḫa- [grc] ἄμη [gmy] 𐀀𐀔 [grc] ἄμητος [grc] ἀμάω [hit] a-an-ši [hit] a-an-ša-an-zi [hit] ḫa-ni-iš-zi [hit] ḫa-ni-iš-ša-an-zi,*h₂meh₁-,"to mow, reap",root,13
[chu] чѧдь [lat] recēns [cym] bachgen [cel] -cnos [sga] cinid [san] कनीन [ave] 𐬐𐬀𐬌𐬥𐬌𐬥 [sqi] qejzë [sqi] qyrë [sqi] qytë [grc] καινός [grc] διάκονος [xcl] սկունդ [bre] kenow [cym] cenau [cym] cenaw [gla] cana [gle] cana [lat] cōnor [grc] ἐγκονέω,*ken-,"to arise, begin",root,23
[grc] στία [san] स्तिया [grc] στῖον,*steyh₂-,to stiffen,root,3
[san] असृपत् [grc] (ἐξ)ἧρψα [lat] serpsī [san] ससर्प [sqi] shtërpij [sqi] gjarpër [san] सर्प [lat] serpēns [grc] ἑρπετόν,*serp-,"to creep, crawl",root,10
[hit] 𒋻𒌑𒍣 [txb] tärk- [lat] torqueō [txb] tetarku [sqi] tjerr [san] तर्कु [lat] tormentum [lat] tortum [gmy] 𐀵𐀫𐀤𐀍𐀕𐀜 [san] तर्क् [xto] tark,*terkʷ-,"to turn, spin",root,12
[sga] ad·tluchedar [sga] do·tluchedar [san] तर्क [san] *terkʷ- [san] तर्कुक [san] तर्क्यते,*telkʷ-,to talk,root,6
[lit] ti̇̀nti [sga] tamnaid [grc] τέμνω [lat] temnō [lat] templum [grc] τομός [grc] τόμος [grc] τομή [grc] τμῆσις [grc] ταμίᾱ [gmy] 𐀲𐀖𐀋𐀄,*temh₁-,to cut,root,11
[grc] εἷλον [lat] consuluī [lat] cōnsulō [grc] ἕλωρ [lat] (cōn)sul [lat] (cōn)silium,*selh₁-,to take,root,6
[lit] ti̇̀lti [lit] táldyti [sga] tuilid [sga] con·tuili [sqi] tall [sga] cotlud,*(s)telH-,"to be silent, be still",root,6
[txb] tsälp [xto] śalpatär [txb] tsälpäṣṣäṃ [lit] del̃bti [lav] dil̃bti [lit] dil̃bti [lav] dal̃ba [lit] dálba [lav] dal̃bs [lav] dil̃ba [lit] di̇̀lba [lav] delbis [lav] dȩl̃bs [lav] dȩlbs [lav] dȩl̃bi [lit] délba,*dʰelbʰ-,"to dig, excavate",root,18
[lav] jùmis [sga] emon [lat] geminus [lat] genus [non] Ymir [sqi] gjysmë,*yemH-,twin,root,6
[lit] lė́nas [lav] lȩ̄̀ns [lat] lēnis [lit] lė̃tas [lav] lȩ̃ts [sga] ·lá [gle] tarlaigh [gla] thàrladh [gla] tàrlaidh,*leh₁-,"soft, calm, lazy, slow",root,12
[mid] guetid [cym] dweud [sga] as·féna [cym] gwadu [lat] vetō [hit] 𒌓𒋻 [xlu] utar,*weth₂-,to say,root,7
[san] द्रमति [grc] δρόμος [grc] ἔδραμον,*drem-,to run,root,3
[lat] dormiō,*drem-,to sleep,root,1
[xcl] տալ [san] गिरि [lat] glōs,*ǵl̥h₂ōws,sister-in-law (husband's sister),noun,3
[grc] δυσμενής [san] दुर्मनस् [san] दुर्मनास्,*dusmenēs,ill-disposed,adj,3
[grc] ἄγγος [ell] αγγείο [fas] انگل [fas] انگول [san] अङ्गुरि [san] अङ्गुलि [san] अङ्गुली [lat] angulus [san] अङ्ग [xto] ānkar [txb] āṅkär,*h₂eng-,"curve, bend",root,12
[lat] saeculum [lit] sėkla [lav] sēkla,*sh₂éytlom,"lifetime, lifespan",noun,3
[lat] lūridus [lat] lūror [lat] līveō [lat] līvidus,*(s)leh₃y-,blueish,root,4
[grc] ἦτορ [sga] athach,*h₁eh₁t-,"to breathe, breath",root,2
[sqi] sot [sqi] sod [sqi] σὸτ [sqi] si-vjet [xlu] 𒍣- [pal] kii̯at [ell] εκείνος [ell] σήμερα [grc] σῆτες [grc] τῆτες [lat] cis,*ḱís,this (here),pron,29
[grc] μᾰκρός [lat] macer,*mh₂ḱrós,"lean, meager",adj,2
[lav] sìens [lit] šiẽnas [grc] κοινᾱ́,*(s)ḱeh₁y-,"to shine, shimmer",root,5
[grc] σκότος [gle] ciar [gla] ciar [lat] obscūrus [lit] šė̃mas [san] श्याम [ave] 𐬯𐬁𐬨𐬀 [gle] ceo [gla] ceò,*(s)ḱeh₃-,"darkness, shadow",root,11
[cym] cawod [bre] kaouad [lit] šiáurė [lat] caurus [xcl] ցուրտ,*(s)ḱeh₁w-,"cold, rainy, north",root,10
[lav] bļaût [lit] bliáuti [grc] φλύος [grc] έφλευσε [lat] fluō,*bʰlewH-,to overflow,root,5
[lat] dīvidō [san] अविधत् [ave] 𐬬𐬍𐬛𐬁𐬌𐬙𐬍 [xto] wätk- [txb] wätk- [lav] vidus [lit] vidùs,*h₁weydʰh₁-,"to separate, divide",root,7
[grc] νέκυς [ave] 𐬥𐬀𐬯𐬎 [xto] oṅk [txb] eṅkwe,*néḱus,"dead, mortal",adj,4
[lit] sténgti,*stengʷ-,to push,root,1
[sqi] elb [grc] ἄλφι [grc] ἄλφιτον,*h₂élbʰit,barley,noun,3
[lat] canicae,*kn̥h₂ónks,honey,noun,1
[xto] āti [txb] atiyo [lav] atãls [lit] atolas [prg] attolis,*h₂et-,grass,root,5
[ave] 𐬀𐬝 [lav] at- [lit] ati- [prg] et- [prg] at- [lat] at [txb] at [lit] ato- [txb] ate [lat] ast [san] अथ [txb] ot [grc] ἀτ(άρ) [got] 𐌰𐌸(𐌸𐌰𐌽),*h₂et-,"but, yet",root,15
[grc] πένομαι [xcl] հենում,*(s)penh₁-,"to twist, to weave",root,2
[lat] barbātus,*bʰardʰéh₂tos,bearded,adj,1
[sqi] grykë,*gʷriHwéh₂,"mane, nape, neck, throat, estuary, mouth of an inlet",noun,1
[grc] στρωτός [grc] στρατός [san] स्तृत [lat] strātus,*str̥h₃tós,"stretched, spread",adj,7
[hit] 𒄩𒀀𒅆 [hit] 𒄩𒀸𒊭𒀭𒍣 [hit] 𒄩𒀸𒊭𒀸 [hit] 𒄩𒀭𒍝𒀸𒊭𒀸 [hit] 𒈗𒍑,*h₂ems-,"to give birth, beget",root,5
[grc] γέρην [grc] γερήν,*gerh₂ḗn,"crane, heron",noun,2
[san] श्वाशुर,*swēḱurós,brother-in-law,noun,1
[san] -त् [ave] -𐬙𐬯,*-ts,Derives action nouns from verbal roots.,suffix,2
[san] सुतम् [san] सोतन [sga] soa [san] असाविषुर् [san] सुनोति [hit] 𒋗𒌑𒄑𒍣 [san] सुवति [xto] sin- [txb] sin- [san] सोम,*sewh₁-,"to press, push (forth)",root,10
[xcl] լու [grc] κλυτός [san] श्रुत [lat] inclutus [lat] inclitus,*ḱlutós,"heard, listened, known, famous",adj,5
[xcl] ջով [lit] jãvas [lit] javai̇̃ [lav] java [lav] javas [bre] yell [gle] eorna [gla] eòrna,*yéwos,"cereal, grain, barley, spelt",noun,8
[san] नीत [lav] paniņas,*neyH-,"to lead, to churn (dairy products)",root,2
[grc] -ης [san] -अस्,*-ēs,Primarily forms last members of adjectival bahuvrīhi compounds,suffix,2
[mid] mese [mid] meise [nor] meis,*moysós,"ram, sheep (= *h₂ówis), sheepskin, fleece, wool",noun,14
[cel] pissiumi [sga] adcí [san] *चिष्ट [mid] nʾmcšt' [ave] 𐬝𐬐𐬀𐬉𐬱𐬀 [fas] کیش,*kʷeys-,to see; to heed,root,6
[lat] vorrō [lat] verrō [sqi] zvarrë [sqi] varrë [sqi] xvarrë [sqi] carrë [lav] vârsms [non] vǫrr [grc] ἐρύω [grc] ἔρρω,*wers-,"to wipe, to drag (on the ground), sweep ~ thresh",root,10
[san] आ वृषस्व [grc] ἕρμα [san] वर्ष्मन् [sga] ferr [lat] verrūca,*wers-,"to rise; to raise, lift, to protrude; to be high (?), peak, height, top, ? excrescence of the skin",root,5
[lat] vespa,*wóbʰseh₂,wasp,noun,1
[gle] cinn [san] खञ्जति [ell] σκάζω [grc] σκάζων [chu] шѧгати,*(s)keng-,"to limp, hobble, to tilt, be askew",root,6
[xcl] գառն [xcl] առն [dan] orne [dan] urne [swe] orne [grc] ἀρνειός [lat] verrēs [lat] verris,*wérsēn,"virile man, male animal",noun,11
[grc] ἕζομαι,*sédyeti,to be sitting,verb,1
[sqi] dash [lit] daũsos [lit] daũsios [cel] dusios [lit] dvė̃sti [lav] dvèst [chu] из-дъшє [lav] dust [lav] dusêt [lit] dūsė́ti [lit] dusė́ti [lat] bēstia [lat] fuscus [lat] furvus [rus] дво́хать [lit] dùsti [lit] dūsúoti [lit] dū́sauti [lav] dvẽsele [lit] dvėselė [lit] dvasia [hin] धँसना,*dʰwes-,"to breathe (in or out), breath, spirit, soul > creature, dust > dusty, murky color",root,24
[deu] Dämmer [deu] Dämmerung [lat] temere,*témHos,darkness,noun,7
[lat] lābrum,*lówh₃trom,"that which is used for washing:, washbasin, bathtub, that which is used for washing:, bathwater; soap suds",noun,1
[grc] στίζω [san] तेजते [lat] (īn-)stīgō [san] तेजस् [san] तिक्त [san] तिग्म [ave] 𐬙𐬌𐬖𐬭𐬀 [old] 𐎫𐎡𐎥𐎼 [san] तेजीयस् [fas] تیز [san] तीक्ष्ण,*(s)teyg-,"to be sharp, to sting",root,11
[san] क्षोदन्ति [san] क्षोदन्ते [san] क्षुणत्ति [san] अक्षोदयत् [ave] 𐬑𐬱𐬎𐬯𐬙𐬀 [san] क्षुण्ण [fas] شستن,*k⁽ʷ⁾sewd-,"to crush, disperse, to disintegrate",root,8
[grc] ἀπόνητο [grc] ὀνίνημι [mid] anaw [lat] Anauus [san] नाथ,*h₃neh₂-,to enjoy,root,5
[fas] سترون [lat] sterilis [hye] ստերջ [grc] στεῖρος,*ster-,"barren, infertile",root,6
[grc] δήν [grc] δᾱ́ν [lat] quondam [lat] quīdam [lat] dum [lat] dūdum [rus] даве [chu] давѣ [xcl] երկայն [san] दविष्ठम् [ave] 𐬛𐬠𐬋𐬌𐬱𐬙𐬆𐬨 [old] 𐎯𐎢𐎺𐎡𐏁𐎫𐎶 [san] दूत [sga] doe [san] दवीयस्,*dweh₂-,"long, distant, to remove, separate",root,15
[san] वर्ष॑ति [san] व॒र्षय॑ति [sga] fros [san] वृ॒ष्ट [ave] 𐬀𐬌𐬡𐬌𐬬𐬀𐬭𐬆𐬱𐬙𐬀 [san] वृ॒ष्टि [san] प्रा॒वृष्,*h₁wers-,to rain,root,7
[san] जागृधुर् [san] अगृधत् [san] गृध्यति [san] गृध्र [pus] غوښتل [pus] غواړي,*g⁽ʷ⁾eldʰ-,"to be greedy, hungry",root,9
